series id,title
EXBZUS,Brazil / U.S. Foreign Exchange Rate
INTGSTBRM193N,"Interest Rates, Government Securities, Treasury Bills for Brazil"
BRACPIALLMINMEI,Consumer Price Index: All Items for Brazil
RBBRBIS,Real Broad Effective Exchange Rate for Brazil
INTDSRBRM193N,"Interest Rates, Discount Rate for Brazil"
LRUNTTTTBRM156S,Unemployment Rate: Aged 15 and Over: All Persons for Brazil
LRUNTTTTBRM156N,Unemployment Rate: Aged 15 and Over: All Persons for Brazil
MANMM101BRM189S,M1 for Brazil
MYAGM1BRM189N,M1 for Brazil
MANMM101BRM657S,M1 for Brazil
MANMM101BRM189N,M1 for Brazil
MYAGM2BRM189N,M2 for Brazil
BRAPROINDMISMEI,Production of Total Industry in Brazil
XTEXVA01BRM667S,Exports: Value Goods for Brazil
XTEXVA01BRM667N,Exports: Value Goods for Brazil
XTEXVA01BRM664S,Exports: Value Goods for Brazil
XTEXVA01BRM657S,Exports: Value Goods for Brazil
XTEXVA01BRM659S,Exports: Value Goods for Brazil
CPALTT01BRM659N,Consumer Price Index: Total All Items for Brazil
CPALTT01BRM657N,Consumer Price Index: Total All Items for Brazil
MABMM301BRM189S,M3 for Brazil
MABMM301BRM189N,M3 for Brazil
MYAGM3BRM189N,M3 for Brazil
MABMM301BRM657S,M3 for Brazil
IRSTCI01BRM156N,Immediate Rates: Less than 24 Hours: Call Money/Interbank Rate for Brazil
IRSTCB01BRM156N,Immediate Rates: Less than 24 Hours: Central Bank Rates for Brazil
TRESEGBRM052N,Total Reserves excluding Gold for Brazil
TRESEGBRM194N,Total Reserves excluding Gold for Brazil
IRSTFR01BRM156N,Immediate Rates: Less than 24 Hours: Federal Funds Rate for Brazil
XTEITT01BRM156S,Ratio of Exports to Imports for Brazil
XTEITT01BRM156N,Ratio of Exports to Imports for Brazil
BRALORSGPNOSTSAM,Leading Indicators OECD: Reference series: Gross Domestic Product (GDP): Normalised for Brazil
XTIMVA01BRM667S,Imports: Value Goods for Brazil
XTIMVA01BRM664S,Imports: Value Goods for Brazil
XTIMVA01BRM667N,Imports: Value Goods for Brazil
XTIMVA01BRM657S,Imports: Value Goods for Brazil
XTIMVA01BRM659S,Imports: Value Goods for Brazil
CSCICP03BRM665S,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for Brazil
SPASTT01BRM657N,Total Share Prices for All Shares for Brazil
SPASTT01BRM661N,Total Share Prices for All Shares for Brazil
MYAGM4BRM189N,M4 for Brazil
BRAREC,OECD based Recession Indicators for Brazil from the Period following the Peak through the Trough
CCUSMA02BRM618N,National Currency to US Dollar Exchange Rate: Average of Daily Rates for Brazil
BRALOCOSTORSTM,Leading Indicators OECD: Component series: Short-term interest rate: Original series for Brazil
BRACPALTT01IXNBM,Consumer Price Index: All items: Total: Total for Brazil
CCRETT01BRM661N,Real Effective Exchange Rates Based on Manufacturing Consumer Price Index for Brazil
CCUSSP02BRM650N,National Currency to US Dollar Spot Exchange Rate for Brazil
NBBRBIS,Broad Effective Exchange Rate for Brazil
LCEATT03BRM189N,Monthly Earnings: All Activities for Brazil
BRASARTMISMEI,Total Retail Trade in Brazil
OPCNTT01BRM661N,Total Construction Costs for Brazil
LCEATT03BRM661S,Monthly Earnings: All Activities for Brazil
LCEATT03BRM661N,Monthly Earnings: All Activities for Brazil
MABMM201BRM189N,M2 for Brazil (DISCONTINUED)
LREMTTTTBRM156N,Employment Rate: Aged 15 and Over: All Persons for Brazil
LFACTTTTBRM647S,Active Population: Aged 15 and Over: All Persons for Brazil
LREMTTTTBRM156S,Employment Rate: Aged 15 and Over: All Persons for Brazil
LFWA24TTBRM647S,Working Age Population: Aged 15-24: All Persons for Brazil
LFWA24TTBRM647N,Working Age Population: Aged 15-24: All Persons for Brazil
LFACTTTTBRM647N,Active Population: Aged 15 and Over: All Persons for Brazil
BRALORSGPTDSTSAM,Leading Indicators OECD: Reference series: Gross Domestic Product (GDP): Trend for Brazil
MAM2A1BRM189N,"M2, Alternate Definition 1 for Brazil"
LFEMTTTTBRM647S,Employed Population: Aged 15 and Over: All Persons for Brazil
BRAMABMM301GYSAM,Monetary aggregates and their components: Broad money and components: M3: M3 for Brazil
LRUN24TTBRM156S,Unemployment Rate: Aged 15-24: All Persons for Brazil
LFEMTTTTBRM657S,Employed Population: Aged 15 and Over: All Persons for Brazil
LFEMTTTTBRM647N,Employed Population: Aged 15 and Over: All Persons for Brazil
LFEMTTTTBRM657N,Employed Population: Aged 15 and Over: All Persons for Brazil
BRAMABMM301IXOBSAM,Monetary aggregates and their components: Broad money and components: M3: M3 for Brazil
LRUN24TTBRM156N,Unemployment Rate: Aged 15-24: All Persons for Brazil
BRAXTEXVA01NCMLM,International Trade: Exports: Value (goods): Total for Brazil
BRAXTNTVA01NCMLM,International Trade: Net trade: Value (goods): Total for Brazil
XTNTVA01BRM667S,Net Trade: Value Goods for Brazil
LFUNTTTTBRM647S,Unemployed Population: Aged 15 and Over: All Persons for Brazil
BRAMANMM101IXOBSAM,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Brazil
XTNTVA01BRM664S,Net Trade: Value Goods for Brazil
XTNTVA01BRM667N,Net Trade: Value Goods for Brazil
LFUNTTTTBRM647N,Unemployed Population: Aged 15 and Over: All Persons for Brazil
TWEXBMTH,"Trade Weighted U.S. Dollar Index: Broad, Goods (DISCONTINUED)"
CPGDFD01BRM661N,Consumer Price Index: Total Food Including Restaurants for Brazil
BRAPROMANMISMEI,Production in Total Manufacturing for Brazil
BRARECM,OECD based Recession Indicators for Brazil from the Peak through the Trough
CSCICP02BRM460S,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: European Commission and National Indicators for Brazil
BSCURT02BRM160S,Business Tendency Surveys for Manufacturing: Capacity Utilization: Rate of Capacity Utilization: European Commission and National Indicators for Brazil
BRALOLITOAASTSAM,Leading Indicators OECD: Leading indicators: CLI: Amplitude adjusted for Brazil
BRALORSGPRTSTSAM,Leading Indicators OECD: Reference series: Gross Domestic Product (GDP): Ratio to trend for Brazil
BSCICP03BRM665S,Business Tendency Surveys for Manufacturing: Confidence Indicators: Composite Indicators: OECD Indicator for Brazil
BSXRLV02BRM086S,Business Tendency Surveys for Manufacturing: Export Order Books or Demand: Level: European Commission Indicator for Brazil
BRAPROCONMISMEI,Production of Total Construction in Brazil
LCEATT04BRM189N,Real Monthly Earnings: All Activities for Brazil
LCEATT04BRM661S,Real Monthly Earnings: All Activities for Brazil
LCEATT04BRM661N,Real Monthly Earnings: All Activities for Brazil
BRASLRTTO01GYSAM,Sales: Retail trade: Total retail trade: Volume for Brazil
BRASLRTTO01GPSAM,Sales: Retail trade: Total retail trade: Volume for Brazil
BRASLRTTO01IXOBM,Sales: Retail trade: Total retail trade: Volume for Brazil
BRALOLITOTRGYSAM,Leading Indicators OECD: Leading indicators: CLI: Trend restored for Brazil
BRALOLITOTRSTSAM,Leading Indicators OECD: Leading indicators: CLI: Trend restored for Brazil
BRAPRINTO01GYSAM,Production: Industry: Total industry: Total industry excluding construction for Brazil
BRAPRINTO01GPSAM,Production: Industry: Total industry: Total industry excluding construction for Brazil
BRAPRINTO01IXOBM,Production: Industry: Total industry: Total industry excluding construction for Brazil
LFWATTTTBRM647S,Working Age Population: Aged 15 and Over: All Persons for Brazil
LFWATTTTBRM647N,Working Age Population: Aged 15 and Over: All Persons for Brazil
LFAC24TTBRM647S,Active Population: Aged 15-24: All Persons for Brazil
LFAC24TTBRM647N,Active Population: Aged 15-24: All Persons for Brazil
VALEXPBRM052N,"Goods, Value of Exports for Brazil"
BRALOCOSTNOSTSAM,Leading Indicators OECD: Component series: Short-term interest rate: Normalised for Brazil
BRARECP,OECD based Recession Indicators for Brazil from the Peak through the Period preceding the Trough
LREM24TTBRM156S,Employment Rate: Aged 15-24: All Persons for Brazil
LREM24TTBRM156N,Employment Rate: Aged 15-24: All Persons for Brazil
BRALOCOBONOSTSAM,Leading Indicators OECD: Component series: BTS - Order books: Normalised for Brazil
IMP3510,U.S. Imports of Goods by Customs Basis from Brazil
BRAPRMNCG02IXOBSAM,Production: Manufacturing: Consumer goods: Durable goods for Brazil
BRAPRMNCG02IXOBM,Production: Manufacturing: Consumer goods: Durable goods for Brazil
BRABCBUTE02STSAM,Business tendency surveys (construction): Business situation - Activity: Tendency: National indicator for Brazil
BRALOLITONOSTSAM,Leading Indicators OECD: Leading indicators: CLI: Normalised for Brazil
EXP3510,U.S. Exports of Goods by F.A.S. Basis to Brazil
